DATE,EXJPUS
1/07/1993,107.6914
1/08/1993,103.765
1/09/1993,105.5748
1/10/1993,107.02
1/11/1993,107.8765
1/12/1993,109.913
1/01/1994,111.4415
1/02/1994,106.3011
1/03/1994,105.0974
1/04/1994,103.4843
1/05/1994,103.7533
1/06/1994,102.5264
1/07/1994,98.445
1/08/1994,99.9404
1/09/1994,98.7743
1/10/1994,98.353
1/11/1994,98.044
1/12/1994,100.1824
1/01/1995,99.766
1/02/1995,98.2368
1/03/1995,90.5196
1/04/1995,83.6895
1/05/1995,85.1127
1/06/1995,84.6355
1/07/1995,87.397
1/08/1995,94.7383
1/09/1995,100.5455
1/10/1995,100.839
1/11/1995,101.94
1/12/1995,101.8495
1/01/1996,105.7514
1/02/1996,105.788
1/03/1996,105.94
1/04/1996,107.1995
1/05/1996,106.3423
1/06/1996,108.96
1/07/1996,109.1909
1/08/1996,107.8659
1/09/1996,109.931
1/10/1996,112.4123
1/11/1996,112.2958
1/12/1996,113.981
1/01/1997,117.9124
1/02/1997,122.9621
1/03/1997,122.7738
1/04/1997,125.6377
1/05/1997,119.1924
1/06/1997,114.2857
1/07/1997,115.3759
1/08/1997,117.9295
1/09/1997,120.89
1/10/1997,121.0605
1/11/1997,125.3817
1/12/1997,129.7341
1/01/1998,129.5475
1/02/1998,125.8516
1/03/1998,129.0823
1/04/1998,131.7536
1/05/1998,134.896
1/06/1998,140.3305
1/07/1998,140.7874
1/08/1998,144.68
1/09/1998,134.4805
1/10/1998,121.0486
1/11/1998,120.2895
1/12/1998,117.0709
1/01/1999,113.29
1/02/1999,116.6684
1/03/1999,119.473
1/04/1999,119.7723
1/05/1999,121.9995
1/06/1999,120.7245
1/07/1999,119.3305
1/08/1999,113.2268
1/09/1999,106.8752
1/10/1999,105.965
1/11/1999,104.6485
1/12/1999,102.5843
1/01/2000,105.296
1/02/2000,109.3885
1/03/2000,106.3074
1/04/2000,105.627
1/05/2000,108.3205
1/06/2000,106.1255
1/07/2000,108.2115
1/08/2000,108.0804
1/09/2000,106.8375
1/10/2000,108.4429
1/11/2000,109.0095
1/12/2000,112.209
1/01/2001,116.6719
1/02/2001,116.2337
1/03/2001,121.505
1/04/2001,123.771
1/05/2001,121.7682
1/06/2001,122.351
1/07/2001,124.4981
1/08/2001,121.367
1/09/2001,118.6117
1/10/2001,121.4536
1/11/2001,122.4055
1/12/2001,127.5945
1/01/2002,132.6833
1/02/2002,133.6426
1/03/2002,131.061
1/04/2002,130.7718
1/05/2002,126.375
1/06/2002,123.2905
1/07/2002,117.8991
1/08/2002,118.9927
1/09/2002,121.078
1/10/2002,123.9077
1/11/2002,121.6079
1/12/2002,121.8929
1/01/2003,118.8133
1/02/2003,119.3379
1/03/2003,118.6871
1/04/2003,119.895
1/05/2003,117.3681
1/06/2003,118.329
1/07/2003,118.6959
1/08/2003,118.6624
1/09/2003,114.8
1/10/2003,109.4955
1/11/2003,109.1778
1/12/2003,107.7377
1/01/2004,106.2685
1/02/2004,106.7079
1/03/2004,108.5157
1/04/2004,107.6564
1/05/2004,112.196
1/06/2004,109.4336
1/07/2004,109.4871
1/08/2004,110.2336
1/09/2004,110.0914
1/10/2004,108.7835
1/11/2004,104.699
1/12/2004,103.8104
1/01/2005,103.341
1/02/2005,104.9442
1/03/2005,105.2543
1/04/2005,107.1938
1/05/2005,106.5952
1/06/2005,108.7473
1/07/2005,111.9535
1/08/2005,110.6065
1/09/2005,111.239
1/10/2005,114.8695
1/11/2005,118.454
1/12/2005,118.4624
1/01/2006,115.4765
1/02/2006,117.8605
1/03/2006,117.2778
1/04/2006,117.0695
1/05/2006,111.7305
1/06/2006,114.625
1/07/2006,115.767
1/08/2006,115.9243
1/09/2006,117.2145
1/10/2006,118.609
1/11/2006,117.3205
1/12/2006,117.322
1/01/2007,120.4471
1/02/2007,120.5047
1/03/2007,117.26
1/04/2007,118.9324
1/05/2007,120.7732
1/06/2007,122.6886
1/07/2007,121.4148
1/08/2007,116.7335
1/09/2007,115.0435
1/10/2007,115.8661
1/11/2007,111.0729
1/12/2007,112.449
1/01/2008,107.8181
1/02/2008,107.03
1/03/2008,100.7562
1/04/2008,102.6777
1/05/2008,104.3595
1/06/2008,106.9152
1/07/2008,106.8518
1/08/2008,109.3624
1/09/2008,106.5748
1/10/2008,99.9659
1/11/2008,96.9656
1/12/2008,91.275
1/01/2009,90.1205
1/02/2009,92.9158
1/03/2009,97.855
1/04/2009,98.92
1/05/2009,96.6445
1/06/2009,96.6145
1/07/2009,94.367
1/08/2009,94.8971
1/09/2009,91.2748
1/10/2009,90.3671
1/11/2009,89.2674
1/12/2009,89.9509
1/01/2010,91.1011
1/02/2010,90.1395
1/03/2010,90.7161
1/04/2010,93.4527
1/05/2010,91.973
1/06/2010,90.8059
1/07/2010,87.5005
1/08/2010,85.3727
1/09/2010,84.3571
1/10/2010,81.7285
1/11/2010,82.518
1/12/2010,83.3376
1/01/2011,82.625
1/02/2011,82.5368
1/03/2011,81.647
1/04/2011,83.1771
1/05/2011,81.1257
1/06/2011,80.4259
1/07/2011,79.2425
1/08/2011,76.9657
1/09/2011,76.7957
1/10/2011,76.643
1/11/2011,77.5595
1/12/2011,77.7967
1/01/2012,76.964
1/02/2012,78.47
1/03/2012,82.4659
1/04/2012,81.2524
1/05/2012,79.6668
1/06/2012,79.3152
1/07/2012,78.9348
1/08/2012,78.6909
1/09/2012,78.1353
1/10/2012,79.0132
1/11/2012,81.0305
1/12/2012,83.7905
1/01/2013,89.0581
1/02/2013,93.0016
1/03/2013,94.77
1/04/2013,97.7582
1/05/2013,100.9186
1/06/2013,97.235
1/07/2013,99.6727
1/08/2013,97.8123
1/09/2013,99.21
1/10/2013,97.77
1/11/2013,100.0737
1/12/2013,103.46
1/01/2014,103.7614
1/02/2014,102.1253
1/03/2014,102.3395
1/04/2014,102.4582
1/05/2014,101.7738
1/06/2014,102.0629
1/07/2014,101.74
1/08/2014,102.9438
1/09/2014,107.4257
1/10/2014,108.0264
1/11/2014,116.2994
1/12/2014,119.3233
1/01/2015,118.25
1/02/2015,118.76
1/03/2015,120.3945
1/04/2015,119.5095
1/05/2015,120.798
1/06/2015,123.7186
1/07/2015,123.3109
1/08/2015,123.0038
1/09/2015,120.1476
1/10/2015,120.0481
1/11/2015,122.6432
1/12/2015,121.635
1/01/2016,118.2258
1/02/2016,114.6155
1/03/2016,112.9317
1/04/2016,109.5519
1/05/2016,108.8481
1/06/2016,105.3509
1/07/2016,104.191
1/08/2016,101.2383
1/09/2016,101.7843
1/10/2016,103.9075
1/11/2016,108.443
1/12/2016,115.9981
