DATE,GBRCPIALLMINMEI
1960-01-01,5.88926340727892
1960-02-01,5.88926340727892
1960-03-01,5.8785459124522
1960-04-01,5.91069839693234
1960-05-01,5.91069839693234
1960-06-01,5.94285088141248
1960-07-01,5.95356837623919
1960-08-01,5.9160571443457
1960-09-01,5.92141589175906
1960-10-01,5.96964461847926
1960-11-01,5.99643835554605
1960-12-01,6.01251459778612
1961-01-01,6.01787334519947
1961-02-01,6.01787334519947
1961-03-01,6.0393083348529
1961-04-01,6.07146081933304
1961-05-01,6.08753706157311
1961-06-01,6.14112453570668
1961-07-01,6.14112453570668
1961-08-01,6.2000707572536
1961-09-01,6.18935326242688
1961-10-01,6.2000707572536
1961-11-01,6.26437572621388
1961-12-01,6.27509322104059
1962-01-01,6.29652821069402
1962-02-01,6.30282473890471
1962-03-01,6.32801085174749
1962-04-01,6.4161622466972
1962-05-01,6.43505183132929
1962-06-01,6.47912752880414
1962-07-01,6.45394141596137
1962-08-01,6.39727266206512
1962-09-01,6.39097613385443
1962-10-01,6.38467960564373
1962-11-01,6.40986571848651
1962-12-01,6.44134835953998
1963-01-01,6.46653447238276
1963-02-01,6.523203226279
1963-03-01,6.5294997544897
1963-04-01,6.54838933912178
1963-05-01,6.54209281091108
1963-06-01,6.54209281091108
1963-07-01,6.50431364164692
1963-08-01,6.48542405701484
1963-09-01,6.50431364164692
1963-10-01,6.5294997544897
1963-11-01,6.54838933912178
1963-12-01,6.56098239554317
1964-01-01,6.59246503659664
1964-02-01,6.59876156480733
1964-03-01,6.62394767765011
1964-04-01,6.68061643154635
1964-05-01,6.7372851854426
1964-06-01,6.76247129828538
1964-07-01,6.76247129828538
1964-08-01,6.78765741112815
1964-09-01,6.78765741112815
1964-10-01,6.79395393933884
1964-11-01,6.85062269323509
1964-12-01,6.87580880607787
1965-01-01,6.89469839070995
1965-02-01,6.89469839070995
1965-03-01,6.91988450355272
1965-04-01,7.0521115959773
1965-05-01,7.07729770882008
1965-06-01,7.09618729345216
1965-07-01,7.09618729345216
1965-08-01,7.10878034987354
1965-09-01,7.11507687808424
1965-10-01,7.12137340629493
1965-11-01,7.1528560473484
1965-12-01,7.18433868840188
1966-01-01,7.19693174482326
1966-02-01,7.20322827303396
1966-03-01,7.21582132945534
1966-04-01,7.30397272440506
1966-05-01,7.35434495009061
1966-06-01,7.3732345347227
1966-07-01,7.34175189366922
1966-08-01,7.38582759114408
1966-09-01,7.3732345347227
1966-10-01,7.39212411935478
1966-11-01,7.43619981682964
1966-12-01,7.44879287325102
1967-01-01,7.46138592967241
1967-02-01,7.4676824578831
1967-03-01,7.4676824578831
1967-04-01,7.52435121177935
1967-05-01,7.51805468356866
1967-06-01,7.54953732462213
1967-07-01,7.50546162714727
1967-08-01,7.48657204251519
1967-09-01,7.48027551430449
1967-10-01,7.53694426820074
1967-11-01,7.5810199656756
1967-12-01,7.63139219136115
1968-01-01,7.65657830420392
1968-02-01,7.69435747346809
1968-03-01,7.71954358631087
1968-04-01,7.85806720694613
1968-05-01,7.86436373515683
1968-06-01,7.8958463762103
1968-07-01,7.90214290442099
1968-08-01,7.91473596084238
1968-09-01,7.92103248905308
1968-10-01,7.95881165831724
1968-11-01,7.97770124294932
1968-12-01,8.08474222253112
1969-01-01,8.12881792000598
1969-02-01,8.17289361748084
1969-03-01,8.2043762585343
1969-04-01,8.29252765348402
1969-05-01,8.27993459706263
1969-06-01,8.3177137663268
1969-07-01,8.3177137663268
1969-08-01,8.29882418169472
1969-09-01,8.32401029453749
1969-10-01,8.38697557664443
1969-11-01,8.40586516127651
1969-12-01,8.46253391517276
1970-01-01,8.53179572549039
1970-02-01,8.57587142296525
1970-03-01,8.62624364865081
1970-04-01,8.75847074107538
1970-05-01,8.78365685391816
1970-06-01,8.80884296676093
1970-07-01,8.87180824886787
1970-08-01,8.86551172065718
1970-09-01,8.90958741813204
1970-10-01,9.00403534129244
1970-11-01,9.06700062339939
1970-12-01,9.12996590550632
1971-01-01,9.25589646972021
1971-02-01,9.30626869540576
1971-03-01,9.38182703393409
1971-04-01,9.5833159366763
1971-05-01,9.64628121878324
1971-06-01,9.71554302910087
1971-07-01,9.77221178299712
1971-08-01,9.77850831120781
1971-09-01,9.7911013676292
1971-10-01,9.84777012152544
1971-11-01,9.90443887542169
1971-12-01,9.95481110110724
1972-01-01,10.0114798550035
1972-02-01,10.061852080689
1972-03-01,10.0933347217425
1972-04-01,10.1877826449029
1972-05-01,10.2381548705885
1972-06-01,10.3074166809061
1972-07-01,10.3388993219596
1972-08-01,10.4207541886986
1972-09-01,10.4774229425948
1972-10-01,10.6222430914408
1972-11-01,10.660022260705
1972-12-01,10.7166910146012
1973-01-01,10.7859528249189
1973-02-01,10.8552146352365
1973-03-01,10.9181799173434
1973-04-01,11.1259653482963
1973-05-01,11.2078202150354
1973-06-01,11.2644889689316
1973-07-01,11.3148611946172
1973-08-01,11.3463438356706
1973-09-01,11.4470882870417
1973-10-01,11.6737633026267
1973-11-01,11.7619146975764
1973-12-01,11.8500660925261
1974-01-01,12.0767411081111
1974-02-01,12.282045706949
1974-03-01,12.390736376922
1974-04-01,12.8134223157059
1974-05-01,12.9945734323276
1974-06-01,13.1274175845168
1974-07-01,13.2481849955979
1974-08-01,13.260261736706
1974-09-01,13.4051826300034
1974-10-01,13.6708709343818
1974-11-01,13.912405756544
1974-12-01,14.1177103553819
1975-01-01,14.4800125886252
1975-02-01,14.7215474107875
1975-03-01,15.0113891973821
1975-04-01,15.5910727705715
1975-05-01,16.2432167904095
